Caja;REG;Caja_ID;GZ_ID;lat;lon;START_;END_;nota;tipo;Simbolo;Caja superior
Sancti Spiritus;SDO;RCSDSS00;3000017;21,909565;-79,380693;1704;9999;;Caja real;Principal;
Veragua;NGR;RCNGVE00;5000013;8,109324;-80,981461;1111;1111;Morales Padrón: siglo XVI;Caja real;Principal;
San Juan de los Remedios;SDO;RCSDSJ00;3000018;22,495251;-79,545232;1743;9999;;Caja real;Principal;
Santa Clara;SDO;RCSDVC00;3000019;22,406565;-79,965051;1743;9999;;Caja real;Principal;
Cailloma;PER;RCPECA00;6000070;;;1631;1779;;Caja real;Principal;
Castrovirreyna;PER;RCPECA00;6000610;;;1600;1630;Morales Padrón: siglo XVI y XVII;Caja real;Principal;
Chachapoyas;PER;RCPECH00;6001262;;;1627;1639;;Caja real;Principal;
Caracas;VEN;RCVECA00;4000001;10,506098;-66,914602;1777;9999;La fecha inicial no se ha confirmado.;Tribunal de cuentas;Tribunal;
Cumaná;VEN;RCVECU00;4000005;10,46721;-64,176598;1583;9999;;Caja real;Principal;
Huancavelica;PER;RCPEHU00;6000005;;;1577;1784;;Caja real;Principal;
Jauja;PER;RCPEJA00;6001133;;;1730;1785;;Caja real;Principal;
Lima;PER;RCPELI00;6000001;;;1532;1604;;Caja real;Principal;
Piura y Paita;PER;RCPEPI00;6001391;;;1600;1779;;Caja real;Principal;
San Juan de Matucana;PER;RCPESA00;6000611;;;1721;1729;;Caja real;Principal;
Saña;PER;RCPESA00;6001415;;;1722;1761;;Caja real;Principal;
isla Margarita;VEN;RCVEIM00;4000006;11,0361;-63,867908;1580;9999;;Caja real;Principal;
Maracaibo;VEN;RCVEMA00;4000007;10,653726;-71,617843;1680;9999;;Caja real;Principal;
Barinas;VEN;RCVEBA00;4000008;8,631546;-70,233762;1801;9999;;Principal;Principal;
Santa Fe;NGR;RCNGSF00;5000001;4,59744;-74,07475;1605;9999;;Tribunal de cuentas;Tribunal;
Jaen;QUI;RCQUJA00;5600004;-5,4164;-78,705447;1111;1111;Morales Padrón: siglo XVI;Caja real;Principal;
Panamá;NGR;RCNGPA00;5000002;9,006451;-79,485941;1514;9999;;Principal;Principal;
Loja;QUI;RCQULO00;5600012;-3,996431;-79,201399;1111;1111;Morales Padrón: siglo XVI;Caja real;Principal;
Puerto Viejo;QUI;RCQUPV00;5600028;;;1622;1636;Morales Padrón:  siglo XVI!;Caja real;Principal;
Quito;QUI;RCQUQU00;5600001;;;1549;1775;;Caja real;Principal;
Yaguarzongo;QUI;RCQUYA00;5600148;-4,551427;-79,132375;1111;1111;Morales Padrón: siglo XVI;Caja real;Principal;
